geometric_altitude,geopotential_altitude,temperature_kelvin,temperature_centigrade,pressure,density,gravity
30000.0,29859.0,226.509,-4664.1,11.9703,0.0184101,9.7147
30050.0,29909.0,226.559,-4659.1,11.8812,0.0182691,9.7146
30100.0,29958.0,226.608,-4654.2,11.7928,0.0181292,9.7144
30150.0,30008.0,226.658,-4649.2,11.7051,0.0179904,9.7143
30200.0,30057.0,226.707,-4644.3,11.618,0.0178527,9.7141
30250.0,30107.0,226.757,-4639.3,11.5316,0.0177161,9.714
30300.0,30156.0,226.806,-4634.4,11.4459,0.0175806,9.7138
30350.0,30206.0,226.856,-4629.4,11.3609,0.0174461,9.7137
30400.0,30255.0,226.905,-4624.5,11.2764,0.0173127,9.7135
30450.0,30305.0,226.955,-4619.5,11.1927,0.0171804,9.7134
30500.0,30354.0,227.004,-4614.6,11.1096,0.0170491,9.7132
30550.0,30404.0,227.054,-4609.6,11.0271,0.0169188,9.7131
30600.0,30453.0,227.103,-4604.7,10.9452,0.0167896,9.7129
30650.0,30503.0,227.153,-4599.7,10.864,0.0166613,9.7128
30700.0,30552.0,227.202,-4594.8,10.7834,0.0165341,9.7126
30750.0,30602.0,227.252,-4589.8,10.7034,0.0164079,9.7125
30800.0,30651.0,227.301,-4584.9,10.624,0.0162827,9.7123
30850.0,30701.0,227.351,-4579.9,10.5453,0.0161584,9.7122
30900.0,30751.0,227.401,-4574.9,10.4671,0.0160352,9.712
30950.0,30800.0,227.45,-4570.0,10.3895,0.0159129,9.7118
31000.0,30850.0,227.5,-4565.0,10.3126,0.0157915,9.7117
31050.0,30899.0,227.549,-4560.1,10.2362,0.0156711,9.7115
31100.0,30949.0,227.599,-4555.1,10.1604,0.0155517,9.7114
31150.0,30998.0,227.648,-4550.2,10.0851,0.0154332,9.7112
31200.0,31048.0,227.698,-4545.2,10.0105,0.0153156,9.7111
31250.0,31097.0,227.747,-4540.3,9.93641,0.015199,9.7109
31300.0,31147.0,227.797,-4535.3,9.86289,0.0150833,9.7108
31350.0,31196.0,227.846,-4530.4,9.78994,0.0149684,9.7106
31400.0,31246.0,227.896,-4525.4,9.71754,0.0148545,9.7105
31450.0,31295.0,227.945,-4520.5,9.64569,0.0147415,9.7103
31500.0,31345.0,227.995,-4515.5,9.5744,0.0146293,9.7102
31550.0,31394.0,228.044,-4510.6,9.50364,0.0145181,9.71
31600.0,31444.0,228.094,-4505.6,9.43342,0.0144077,9.7099
31650.0,31493.0,228.143,-4500.7,9.36374,0.0142982,9.7097
31700.0,31543.0,228.193,-4495.7,9.29459,0.0141895,9.7096
31750.0,31592.0,228.242,-4490.8,9.22597,0.0140817,9.7094
31800.0,31642.0,228.292,-4485.8,9.15787,0.0139747,9.7093
31850.0,31691.0,228.341,-4480.9,9.09028,0.0138686,9.7091
31900.0,31741.0,228.391,-4475.9,9.02322,0.0137632,9.709
31950.0,31790.0,228.44,-4471.0,8.95665,0.0136588,9.7088
32000.0,31840.0,228.49,-4466.0,8.8906,0.0135551,9.7087
32100.0,31939.0,228.589,-4456.1,8.76,0.0133502,9.7084
32200.0,32038.0,228.756,-4439.4,8.63138,0.0131446,9.708
32300.0,32137.0,229.033,-4411.7,8.50479,0.0129361,9.7077
